date,o,h,l,c,v
2003-03-14,40.6996,40.7992,40.5729,40.7268,590900
2003-03-17,40.9803,40.9803,40.2288,40.2379,724400
2003-03-18,40.2741,40.3827,39.8440,39.8576,415200
2003-03-19,39.8576,39.8712,39.5362,39.5633,398400
2003-03-20,39.7580,39.8168,39.2781,39.4999,206700
2003-03-21,39.3505,39.4094,38.9566,38.9566,843400
2003-03-24,39.4320,39.6584,39.3188,39.5724,373800
2003-03-25,39.6810,39.7580,39.3415,39.5271,606400
2003-03-26,39.5000,39.6810,39.5000,39.6086,309500
2003-03-27,39.7263,39.7806,39.5361,39.6357,191600
2003-03-28,39.8033,39.8757,39.7127,39.7263,253400
2003-03-31,39.9753,40.2605,39.9753,40.2469,643800
2003-04-01,40.1915,40.3688,39.9641,40.1324,289800
2003-04-02,39.8505,39.8732,39.6823,39.7141,312200
2003-04-03,39.6686,39.8187,39.6186,39.6914,245600
2003-04-04,39.5822,39.6914,39.5004,39.5777,184900
2003-04-07,39.2003,39.4913,39.0639,39.4867,485400
2003-04-08,39.5777,39.8232,39.5504,39.8050,194700
2003-04-09,39.7368,39.9460,39.6323,39.9232,102400
2003-04-10,39.8959,39.9414,39.7141,39.7368,53300
2003-04-11,39.4731,39.7004,39.3685,39.6732,450000
2003-04-14,39.6004,39.6049,39.4231,39.5640,207100
2003-04-15,39.7050,39.7959,39.5731,39.7777,128500
2003-04-16,39.7959,39.9641,39.7686,39.9414,97700
2003-04-17,40.1187,40.1915,39.9187,40.0050,106200
2003-04-21,39.7732,39.9323,39.6732,39.9187,148000
2003-04-22,40.0778,40.1278,39.8368,39.8959,299900
2003-04-23,39.9096,40.0141,39.8277,39.9777,42700
2003-04-24,40.1915,40.4597,40.1915,40.3370,199000
2003-04-25,40.3506,40.5097,40.3187,40.4279,529700
2003-04-28,40.5052,40.5052,40.3642,40.3642,80500
2003-04-29,40.2506,40.3597,40.1551,40.2961,177500
2003-04-30,40.3688,40.7007,40.3415,40.6688,293400
2003-05-01,40.7708,40.9536,40.5880,40.6885,231200
2003-05-02,40.7068,40.7114,40.3457,40.3686,231500
2003-05-05,40.3640,40.6199,40.3137,40.5833,77700
2003-05-06,40.6062,40.8622,40.4600,40.7845,260600
2003-05-07,41.1364,41.2872,41.0541,41.2598,306900
2003-05-08,41.4107,41.5478,41.2644,41.3604,437400
2003-05-09,41.2736,41.4198,41.2278,41.4015,110000
2003-05-12,41.6575,41.6804,41.4701,41.6621,364700
2003-05-13,41.5477,41.7626,41.5158,41.7534,227800
2003-05-14,41.9729,42.4985,41.8769,42.3934,1426500
2003-05-15,42.3248,42.7682,42.3248,42.5259,810300
2003-05-16,42.7271,42.8550,42.4848,42.8368,703900
2003-05-19,43.0150,43.0744,42.5671,42.6905,817800
2003-05-20,42.5762,43.3212,42.5625,43.3212,606600
2003-05-21,43.0790,43.7234,43.0196,43.3166,1799600
2003-05-22,43.4675,43.7417,43.3761,43.7006,576200
2003-05-23,43.7737,43.9748,43.7143,43.8103,690600
2003-05-27,43.7052,43.7463,43.0196,43.0196,846400
2003-05-28,42.9190,43.0287,42.6493,42.9464,730500
2003-05-29,43.1018,43.3304,42.9967,43.3212,508300
2003-05-30,43.1704,43.3030,42.9510,43.2390,722200
2003-06-02,43.0912,43.0912,42.7285,42.9213,478600
2003-06-03,43.0361,43.4125,43.0131,43.2656,389400
2003-06-04,43.3574,43.4721,43.1692,43.3941,394100
2003-06-05,43.6970,43.7797,43.0544,43.0544,820900
2003-06-06,43.0085,43.2151,42.8616,43.2105,276800
2003-06-09,43.4675,43.5502,43.2702,43.4997,282200
2003-06-10,43.6420,44.0321,43.6374,44.0184,534800
2003-06-11,44.1790,44.3397,43.9265,43.9633,633600
2003-06-12,44.1147,44.3993,44.0688,44.3075,315400
2003-06-13,44.4911,44.6518,44.4131,44.6059,478400
2003-06-16,44.7527,44.8262,44.1836,44.1836,789300
2003-06-17,44.0505,44.0780,43.7888,43.8347,691600
2003-06-18,43.6328,43.6328,43.2380,43.2748,657600
2003-06-19,43.1279,43.3666,42.9168,43.1922,817700
2003-06-20,43.1004,43.1692,42.7010,43.0315,561700
2003-06-23,43.0637,43.3437,42.9306,43.2886,819900
2003-06-24,43.2151,43.6879,43.1508,43.6879,292900
2003-06-25,43.7980,43.8301,42.8938,42.9902,1002800
2003-06-26,42.8020,42.8020,42.2833,42.4118,1423800
2003-06-27,42.4807,42.4807,42.0217,42.2604,735900
2003-06-30,42.1915,42.4669,42.0814,42.4577,541900
2003-07-01,42.4591,42.6158,42.1642,42.2472,449000
2003-07-02,42.0214,42.4222,41.9799,42.3531,338800
2003-07-03,42.2518,42.2564,41.7449,41.7449,559100
2003-07-07,41.5975,41.7403,41.4777,41.4777,465400
2003-07-08,41.6666,41.6897,41.2980,41.5146,389600
2003-07-09,41.7127,41.7864,41.5192,41.6482,270400
2003-07-10,41.7864,41.8141,41.5238,41.6344,718000
2003-07-11,41.6067,41.8325,41.5653,41.8325,389500
2003-07-14,41.7818,41.8694,41.2980,41.3533,465900
2003-07-15,41.2566,41.4040,40.2705,40.3857,3171100
2003-07-16,40.2751,40.8787,40.1553,40.6161,1205400
2003-07-17,40.2383,40.5654,40.1692,40.4917,1030600
