date,o,h,l,c,v
1987-03-19,0.9125,0.9125,0.9125,0.9125,0
1987-03-20,0.9107,0.9107,0.9107,0.9107,0
1987-03-23,0.9090,0.9090,0.9090,0.9090,0
1987-03-24,0.9063,0.9063,0.9063,0.9063,0
1987-03-25,0.9054,0.9054,0.9054,0.9054,0
1987-03-26,0.9081,0.9081,0.9081,0.9081,0
1987-03-27,0.9028,0.9028,0.9028,0.9028,0
1987-03-30,0.8879,0.8879,0.8879,0.8879,0
1987-03-31,0.8929,0.8929,0.8929,0.8929,0
1987-04-01,0.8894,0.8894,0.8894,0.8894,0
1987-04-02,0.8903,0.8903,0.8903,0.8903,0
1987-04-03,0.8885,0.8885,0.8885,0.8885,0
1987-04-06,0.8920,0.8920,0.8920,0.8920,0
1987-04-07,0.8876,0.8876,0.8876,0.8876,0
1987-04-08,0.8885,0.8885,0.8885,0.8885,0
1987-04-09,0.8726,0.8726,0.8726,0.8726,0
1987-04-10,0.8629,0.8629,0.8629,0.8629,0
1987-04-13,0.8593,0.8593,0.8593,0.8593,0
1987-04-14,0.8443,0.8443,0.8443,0.8443,0
1987-04-15,0.8514,0.8514,0.8514,0.8514,0
1987-04-16,0.8611,0.8611,0.8611,0.8611,0
1987-04-20,0.8496,0.8496,0.8496,0.8496,0
1987-04-21,0.8408,0.8408,0.8408,0.8408,0
1987-04-22,0.8434,0.8434,0.8434,0.8434,0
1987-04-23,0.8381,0.8381,0.8381,0.8381,0
1987-04-24,0.8266,0.8266,0.8266,0.8266,0
1987-04-27,0.8301,0.8301,0.8301,0.8301,0
1987-04-28,0.8346,0.8346,0.8346,0.8346,0
1987-04-29,0.8381,0.8381,0.8381,0.8381,0
1987-04-30,0.8501,0.8501,0.8501,0.8501,0
1987-05-01,0.8421,0.8421,0.8421,0.8421,0
1987-05-04,0.8341,0.8341,0.8341,0.8341,0
1987-05-05,0.8359,0.8359,0.8359,0.8359,0
1987-05-06,0.8341,0.8341,0.8341,0.8341,0
1987-05-07,0.8359,0.8359,0.8359,0.8359,0
1987-05-08,0.8403,0.8403,0.8403,0.8403,0
1987-05-11,0.8385,0.8385,0.8385,0.8385,0
