date,o,h,l,c,v
2008-01-15,31.3399,31.3399,31.2279,31.2951,20000
2008-01-16,31.3047,31.3239,31.1671,31.2599,20700
2008-01-17,31.1959,31.1959,31.0391,31.0391,31600
2008-01-18,31.1863,31.6599,31.0455,31.2823,84500
2008-01-22,30.9399,31.3111,29.8521,31.0647,192400
2008-01-23,30.9847,31.2247,30.4024,31.1255,59600
2008-01-24,31.1191,31.5159,30.9975,31.5159,62700
2008-01-25,31.3911,31.8358,31.0551,31.5638,43700
2008-01-28,31.5159,31.5159,31.1959,31.4199,44800
2008-01-29,31.2855,31.4679,31.2855,31.4519,39200
2008-01-30,31.4903,31.5927,31.3335,31.5735,27400
2008-01-31,31.4007,31.6374,31.2759,31.6374,76500
2008-02-01,31.7096,31.7289,31.2458,31.6548,83100
2008-02-04,31.3263,31.6903,31.3263,31.6613,44900
2008-02-05,31.5002,31.5002,31.2457,31.4068,66300
2008-02-06,31.4648,31.4744,31.3037,31.3424,101100
2008-02-07,31.2135,31.3424,30.9236,31.2103,58100
2008-02-08,31.0847,31.0847,30.9236,30.9751,80400
2008-02-11,30.6853,30.9913,30.6853,30.7304,74500
2008-02-12,30.6820,31.0170,30.6820,30.8463,85200
2008-02-13,30.9204,30.9429,30.7658,30.7658,60700
2008-02-14,31.1072,31.1072,30.7465,30.9172,48800
2008-02-15,30.8431,30.8431,30.7143,30.8399,49700
2008-02-19,30.8431,30.9237,30.6015,30.6821,102900
2008-02-20,30.8721,30.8721,30.6112,30.7626,65800
2008-02-21,30.8914,30.9236,30.7626,30.8689,55800
2008-02-22,30.9043,30.9494,30.8109,30.9236,48200
2008-02-25,30.8592,31.0621,30.8302,31.0170,81000
2008-02-26,31.0203,31.2296,30.9881,31.2168,80200
2008-02-27,31.2361,31.2393,31.0815,31.2103,75900
2008-02-28,31.0847,31.2232,30.8238,31.1652,61300
2008-02-29,31.0460,31.0718,30.8238,31.0460,72900
2008-03-03,31.1841,31.1841,30.9604,31.0545,53500
2008-03-04,31.0577,31.1063,30.9637,31.0188,29900
2008-03-05,30.9604,31.1225,30.9604,31.1063,73300
2008-03-06,31.1031,31.1031,30.9605,31.0253,21000
2008-03-07,30.8729,30.9605,30.8729,30.9605,44200
2008-03-10,30.9475,30.9766,30.8794,30.8891,26800
2008-03-11,30.8437,31.0253,30.8146,30.9669,36200
2008-03-12,30.8826,30.9637,30.8794,30.9605,53200
2008-03-13,30.8697,30.8697,30.4093,30.7432,80100
2008-03-14,30.7432,30.7984,30.4904,30.5584,37300
2008-03-17,30.4839,30.4839,30.2472,30.4158,55100
2008-03-18,30.6233,31.4435,30.5682,30.8632,46700
2008-03-19,30.9475,30.9864,30.8308,30.8956,75800
2008-03-20,30.8826,31.0415,30.8632,31.0415,55600
2008-03-24,31.1193,31.3170,31.0545,31.2781,104900
2008-03-25,31.2846,31.3657,31.1939,31.3592,90200
2008-03-26,31.3171,31.3722,31.2522,31.2846,149700
2008-03-27,31.3171,31.3171,31.1582,31.1841,97800
2008-03-28,31.1874,31.2003,31.1258,31.2003,46400
2008-03-31,31.1290,31.3495,31.0026,31.3398,246500
2008-04-01,31.2914,31.4807,31.2914,31.4775,988000
2008-04-02,31.4677,31.5427,31.4122,31.4938,92200
2008-04-03,31.5460,31.5460,31.2001,31.4383,98300
2008-04-04,31.4938,32.0584,31.3991,31.5591,142200
2008-04-07,31.5917,31.8300,31.5591,31.8104,117300
2008-04-08,31.7059,31.9181,31.6243,31.9181,85300
2008-04-09,31.6570,31.7222,31.5852,31.6406,79400
2008-04-10,31.6276,32.1498,31.6047,31.7549,176900
2008-04-11,31.6896,31.6994,31.4938,31.5003,59600
2008-04-14,31.5884,31.6243,31.5003,31.6113,54700
2008-04-15,31.5884,31.7222,31.5395,31.6080,59400
2008-04-16,31.7157,31.7940,31.6047,31.7451,84700
2008-04-17,31.7777,31.7777,31.6896,31.7777,61900
2008-04-18,31.9246,31.9997,31.7647,31.9931,123700
2008-04-21,31.9768,31.9768,31.9050,31.9409,70500
2008-04-22,32.0290,32.0878,31.8299,31.9833,77600
2008-04-23,32.1139,32.2085,31.9115,32.1139,103800
2008-04-24,32.1628,32.1628,31.9507,32.1237,114400
2008-04-25,32.2379,32.2770,32.1791,32.2770,87600
2008-04-28,32.3652,32.4729,32.1433,32.4664,595700
2008-04-29,32.4631,32.4631,32.2803,32.3717,144500
2008-04-30,32.3782,32.6230,32.1465,32.4043,113400
2008-05-01,32.5612,33.0930,32.5612,33.0930,428500
2008-05-02,32.9289,32.9519,32.6958,32.7582,133900
2008-05-05,32.6630,32.7253,32.6630,32.7057,121900
2008-05-06,32.5875,32.5875,32.3905,32.4726,121400
2008-05-07,32.5678,32.5711,32.3709,32.4956,65700
2008-05-08,32.5514,32.5579,32.4135,32.4266,59700
2008-05-09,32.4529,32.4956,32.3282,32.4956,73100
2008-05-12,32.4693,32.4726,32.3315,32.4529,91900
2008-05-13,32.4890,32.5087,32.4004,32.4431,59500
2008-05-14,32.4759,32.5415,32.2002,32.3971,153100
2008-05-15,32.5481,32.5777,32.2494,32.4825,146600
2008-05-16,32.4037,32.5415,32.3643,32.5284,79300
2008-05-19,32.6105,32.6860,32.5612,32.6564,58900
2008-05-20,32.6597,32.6597,32.5186,32.5941,49300
2008-05-21,32.6105,32.6105,32.5022,32.5350,97300
2008-05-22,32.4956,32.5744,32.4070,32.4857,51700
2008-05-23,32.3971,32.4332,32.0689,32.2921,401400
2008-05-27,32.2855,32.2855,32.0164,32.1116,65800
2008-05-28,32.0361,32.2790,32.0361,32.2691,73700
2008-05-29,32.2494,32.2986,32.1673,32.2363,76300
2008-05-30,32.2428,32.2428,32.1903,32.2396,53600
2008-06-02,32.2409,32.2673,31.6561,31.9733,374500
2008-06-03,32.1451,32.1451,31.8147,31.9964,80200
2008-06-04,32.0228,32.0228,31.8642,31.9634,46100
2008-06-05,32.0460,32.1120,32.0063,32.1021,49200
2008-06-06,32.0361,32.1715,31.9733,32.0129,43100
2008-06-09,32.1352,32.1682,31.9171,32.1153,47100
2008-06-10,32.0460,32.1319,31.9997,32.1286,52400
2008-06-11,32.2111,32.3697,32.0459,32.1219,66500
2008-06-12,32.0228,32.1616,31.9502,32.0691,41200
2008-06-13,32.0790,32.2112,31.8312,32.2112,58900
2008-06-16,31.9138,32.0691,31.7519,31.7652,61200
2008-06-17,31.7255,31.9799,31.7057,31.8213,87300
2008-06-18,31.8147,31.9964,31.7321,31.8907,67200
2008-06-19,31.7883,31.7883,31.6000,31.6892,86600
2008-06-20,31.6495,31.6760,31.4678,31.5636,40500
2008-06-23,31.5802,31.5967,31.4150,31.4480,37800
2008-06-24,31.4182,31.5933,31.2167,31.3158,176700
2008-06-25,31.2663,31.4315,31.2200,31.4216,92900
2008-06-26,31.1143,31.2531,30.9888,31.1738,96000
2008-06-27,31.0615,31.1209,30.9194,31.0879,58300
2008-06-30,31.0218,31.0879,30.9029,31.0549,84900
2008-07-01,30.7491,31.2714,30.7225,31.0219,957200
2008-07-02,30.9454,31.1051,30.7957,30.9986,81800
2008-07-03,31.0618,31.1317,30.9354,30.9853,41700
2008-07-07,31.1284,31.1284,30.8423,31.0119,102500
2008-07-08,30.9886,31.0086,30.8256,30.9287,170000
2008-07-09,30.8722,31.0053,30.7891,30.8223,79000
2008-07-10,30.7458,30.9687,30.7192,30.8622,99100
2008-07-11,30.7092,30.8755,30.6826,30.8223,310000
2008-07-14,30.9920,30.9920,30.5728,30.7491,41200
2008-07-15,30.5096,30.5395,30.1836,30.2734,149100
2008-07-16,30.3399,30.4630,30.2734,30.3732,25300
2008-07-17,30.5063,30.7891,30.4265,30.4631,41900
2008-07-18,30.6360,30.9521,30.5296,30.9521,48800
2008-07-21,31.1117,31.1683,30.9387,31.1051,49500
2008-07-22,31.0386,31.2348,30.9787,31.2115,103000
2008-07-23,31.1550,31.2482,31.1218,31.1284,193500
2008-07-24,31.2082,31.3513,31.0252,31.2016,64100
2008-07-25,31.1882,31.4477,31.1716,31.2681,188000
2008-07-28,31.0851,31.1816,31.0386,31.1616,75200
2008-07-29,31.1250,31.2149,31.0053,31.1683,65900
2008-07-30,31.0552,31.1849,30.9388,31.1750,103900
2008-07-31,31.0619,31.2382,30.9388,31.2382,82000
2008-08-01,31.0582,31.1822,30.9577,31.0985,25200
2008-08-04,30.9510,30.9845,30.8371,30.8840,75800
2008-08-05,30.9343,31.3933,30.8304,31.1018,70600
2008-08-06,30.9108,30.9410,30.8237,30.8941,44200
2008-08-07,30.8807,30.9108,30.8237,30.8572,42700
2008-08-08,30.8472,30.9175,30.8136,30.9108,62300
2008-08-11,30.7734,30.8740,30.6093,30.8237,49800
2008-08-12,30.8840,30.9812,30.7902,30.9443,95000
2008-08-13,30.9242,30.9912,30.8237,30.9912,47200
2008-08-14,30.9577,30.9912,30.8773,30.9912,58400
2008-08-15,30.9711,31.0716,30.9644,31.0616,39900
2008-08-18,31.0750,31.1554,30.8304,30.9912,91100
2008-08-19,31.0415,31.0750,30.9075,31.0515,101400
2008-08-20,31.0516,31.0985,30.9343,31.0449,30700
2008-08-21,30.9477,31.0247,30.9075,31.0013,103100
2008-08-22,30.9745,31.0750,30.8237,30.8237,58300
2008-08-25,30.8606,30.9979,30.8606,30.9912,60600
2008-08-26,31.0113,31.0113,30.7902,30.8237,259900
2008-08-27,30.9510,30.9510,30.7668,30.8572,68400
2008-08-28,30.9510,30.9644,30.8304,30.9008,74100
2008-08-29,30.9745,31.0214,30.8237,30.9577,59500
2008-09-02,31.1129,31.2107,30.9038,30.9645,57200
2008-09-03,31.0319,31.0657,30.9746,31.0657,50200
2008-09-04,31.2006,31.2006,31.1365,31.2006,46700
2008-09-05,31.1197,31.1770,30.8700,31.1736,62400
2008-09-08,31.4165,31.4165,31.0825,31.1365,59300
2008-09-09,31.2242,31.3389,31.0994,31.2040,168700
2008-09-10,31.1938,31.1938,31.0319,31.0319,61200
2008-09-11,31.0893,31.1466,30.9173,31.0319,101600
2008-09-12,30.9915,31.0421,30.8565,31.0319,121100
2008-09-15,30.9914,30.9914,29.6827,29.8918,377800
2008-09-16,29.3589,29.4837,27.7398,29.2037,283800
2008-09-17,29.0655,29.1430,26.7313,27.4498,283100
2008-09-18,27.9928,29.7502,27.4599,29.6153,226400
2008-09-19,30.0201,31.0488,29.7165,29.9931,77800
2008-09-22,30.0537,30.4248,29.8851,29.9660,34600
2008-09-23,30.2123,30.2730,29.3454,29.6726,64200
2008-09-24,29.6996,30.2528,29.6996,29.9391,57700
2008-09-25,29.9694,29.9694,29.1768,29.1768,73600
2008-09-26,28.8327,29.3252,28.6472,29.0756,50900
2008-09-29,29.0857,29.0857,25.6351,26.7212,174700
2008-09-30,27.8309,27.8748,27.1867,27.6589,113200
2008-10-01,28.0059,28.9821,27.8936,28.8631,991400
2008-10-02,28.8699,28.8699,27.5569,28.1113,230900
2008-10-03,28.3120,28.4923,27.8086,28.0092,51400
2008-10-06,27.3834,27.8086,26.3799,26.9922,134200
2008-10-07,27.0466,28.1215,26.4955,26.5364,240800
2008-10-08,26.0635,26.6010,25.2471,25.4274,157800
2008-10-09,25.5805,26.6214,24.8355,24.8355,113800
2008-10-10,24.2776,24.2776,21.7570,23.1789,274300
