date,o,h,l,c,v
2008-02-20,15.1147,15.1147,14.4927,14.5793,29400
2008-02-21,14.6691,14.6691,14.4831,14.5889,120900
2008-02-22,14.7524,14.7524,14.5055,14.6242,49900
2008-02-25,14.4318,15.0699,14.4286,14.7396,31200
2008-02-26,15.0538,15.0538,14.4510,14.6274,80600
2008-02-27,14.5536,14.7460,14.5472,14.6883,51400
2008-02-28,14.7460,14.7845,14.5793,14.6787,35500
2008-02-29,14.7428,14.7428,14.3869,14.5344,72400
2008-03-03,14.4993,14.6056,14.4348,14.6024,66400
2008-03-04,14.4864,14.7184,14.0481,14.2608,117100
2008-03-05,14.2060,14.4703,13.5131,13.9482,84000
2008-03-06,13.9321,14.1190,13.7613,13.9224,104700
2008-03-07,14.1319,14.1319,13.7387,13.9127,49600
2008-03-10,13.8579,13.9417,13.4035,13.4776,65800
2008-03-11,13.6775,13.8031,13.3745,13.7387,105200
2008-03-12,13.7774,13.8064,13.6807,13.7129,204000
2008-03-13,13.6098,13.7000,13.4486,13.7000,29500
2008-03-14,14.1158,14.1158,13.4390,13.7258,48500
2008-03-17,13.2424,13.5002,12.8911,13.0522,59800
2008-03-18,12.9008,13.5357,12.9008,13.2456,81400
2008-03-19,13.2005,13.5163,13.2005,13.4293,56300
2008-03-20,13.6420,13.8579,13.4067,13.8193,121000
2008-03-24,14.0448,14.0481,13.7129,13.8708,60700
2008-03-25,13.5389,13.9868,13.5389,13.8612,55000
2008-03-26,13.9224,13.9643,13.7903,13.9224,115200
2008-03-27,14.0159,14.0255,13.8322,13.8612,55800
2008-03-28,13.7290,13.8902,13.7290,13.7580,22900
2008-03-31,13.5969,13.7645,13.5937,13.7065,21600
2008-04-01,13.7343,14.1688,13.7343,13.9743,63600
2008-04-02,13.8381,14.0391,13.8381,14.0391,40200
2008-04-03,14.0326,14.0780,13.9354,14.0780,77100
2008-04-04,14.0488,14.1526,14.0488,14.1429,42200
2008-04-07,14.1234,14.2207,14.0748,14.1007,61700
2008-04-08,14.1364,14.1396,14.0521,14.1169,49500
2008-04-09,14.1915,14.1948,14.0975,14.1461,39700
2008-04-10,14.1364,14.1364,14.0521,14.1267,44500
2008-04-11,14.0391,14.1623,14.0067,14.1007,48300
2008-04-14,14.0910,14.1072,13.9548,13.9743,36900
2008-04-15,14.1818,14.1818,13.9483,13.9840,83000
2008-04-16,14.0456,14.2434,14.0132,14.2401,45300
2008-04-17,14.1688,14.2369,14.1104,14.2369,56000
2008-04-18,14.2920,14.4087,14.2661,14.4023,79500
2008-04-21,14.4152,14.4768,14.3342,14.3666,63400
2008-04-22,14.3504,14.4185,14.3147,14.3698,76000
2008-04-23,14.3958,14.3958,14.2953,14.3115,64700
2008-04-24,14.3471,14.4185,14.2661,14.4023,85800
2008-04-25,14.4379,14.4995,14.3569,14.4995,79000
2008-04-28,14.4995,14.6098,14.4931,14.5579,71200
2008-04-29,14.5903,14.5903,14.5060,14.5125,129100
2008-04-30,14.5871,14.6389,14.5449,14.5741,74700
2008-05-01,14.5920,14.6083,14.4942,14.5757,82500
2008-05-02,15.0255,15.0255,14.5040,14.5888,83900
2008-05-05,14.6377,14.6377,14.4975,14.5953,100800
2008-05-06,14.5953,14.6116,14.4584,14.5529,163800
2008-05-07,14.5855,14.6279,14.4845,14.6083,79700
2008-05-08,14.5040,14.6898,14.4877,14.6865,79300
2008-05-09,14.6735,14.6735,14.5203,14.6214,141300
2008-05-12,14.5399,14.6148,14.3573,14.6018,68300
2008-05-13,14.6377,14.6507,14.5366,14.6083,81000
2008-05-14,14.6670,14.6996,14.5431,14.6572,144500
2008-05-15,14.7028,14.7419,14.6148,14.7354,82500
2008-05-16,14.7843,14.8495,14.6637,14.8495,181300
2008-05-19,14.8788,14.8788,14.6670,14.6931,136100
